user_agent,slug,operator,purpose,description,robots_compliance,robots_note,docs_url,ip_range_url,crawl_delay,crawl_delay_note,url
"GPTBot","gptbot","OpenAI","training","Crawls content to train OpenAI's models.","yes","OpenAI documents GPTBot's IP ranges and states it honors robots.txt disallow rules.","https://platform.openai.com/docs/bots","https://openai.com/gptbot.json","","","https://geoprompttracker.com/bots/gptbot"
"OAI-SearchBot","oai-searchbot","OpenAI","search","Powers search-style results surfaced in ChatGPT.","yes","OpenAI states OAI-SearchBot respects robots.txt rules.","https://platform.openai.com/docs/bots","https://openai.com/searchbot.json","","","https://geoprompttracker.com/bots/oai-searchbot"
"ChatGPT-User","chatgpt-user","OpenAI","search","Fetches pages a user asks ChatGPT to browse in real time.","yes","OpenAI states ChatGPT-User honors robots.txt, though as a user-triggered fetcher it visits single pages rather than crawling.","https://platform.openai.com/docs/bots","https://openai.com/chatgpt-user.json","","","https://geoprompttracker.com/bots/chatgpt-user"
"ClaudeBot","claudebot","Anthropic","training","Crawls content to train Anthropic's Claude models.","yes","Anthropic documents ClaudeBot and states it respects robots.txt directives and anti-circumvention signals.","https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler","","","","https://geoprompttracker.com/bots/claudebot"
"Claude-User","claude-user","Anthropic","search","Fetches pages on behalf of a user during a Claude conversation.","yes","Anthropic documents Claude-User alongside its other agents; it fetches single user-requested pages rather than crawling at scale.","https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler","","","","https://geoprompttracker.com/bots/claude-user"
"Claude-SearchBot","claude-searchbot","Anthropic","search","Indexes content to inform Claude's search-style answers.","yes","Anthropic states Claude-SearchBot respects robots.txt directives.","https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler","","","","https://geoprompttracker.com/bots/claude-searchbot"
"PerplexityBot","perplexitybot","Perplexity","search","Crawls and indexes pages for Perplexity's answer engine.","partial","Perplexity says PerplexityBot respects robots.txt, but independent investigations (notably Cloudflare's 2024–2025 reports) have observed undeclared fetching that bypassed blocks.","https://docs.perplexity.ai/guides/bots","https://www.perplexity.ai/perplexitybot.json","","","https://geoprompttracker.com/bots/perplexitybot"
"Perplexity-User","perplexity-user","Perplexity","search","Fetches a page a user asks Perplexity to browse live.","no","Perplexity's own documentation says Perplexity-User generally ignores robots.txt because fetches are user-requested.","https://docs.perplexity.ai/guides/bots","https://www.perplexity.ai/perplexity-user.json","","","https://geoprompttracker.com/bots/perplexity-user"
"Google-Extended","google-extended","Google","training","Controls use of content for Gemini and Vertex AI training, separate from Googlebot.","yes","As a robots.txt token rather than a crawler, honoring your directive is its entire function; Google documents it officially.","https://developers.google.com/search/docs/crawling-indexing/overview-google-crawlers","https://developers.google.com/static/crawling/ipranges/common-crawlers.json","","","https://geoprompttracker.com/bots/google-extended"
"CCBot","ccbot","Common Crawl","training","Common Crawl's crawler; its dataset is widely used to train LLMs.","yes","Common Crawl is a nonprofit with a long public record of honoring robots.txt and crawl-delay directives.","https://commoncrawl.org/ccbot","","","","https://geoprompttracker.com/bots/ccbot"
"Bytespider","bytespider","ByteDance","training","ByteDance's crawler, used for training its AI models.","no","ByteDance publishes no crawler documentation, and multiple independent reports have found Bytespider ignoring robots.txt; blocking it reliably requires firewall or CDN rules.","","","","","https://geoprompttracker.com/bots/bytespider"
"Applebot-Extended","applebot-extended","Apple","training","Controls use of content for training Apple's AI models (Apple Intelligence).","yes","Apple documents the token officially and honors it via Applebot's crawl infrastructure.","https://support.apple.com/en-us/119829","https://search.developer.apple.com/applebot.json","","","https://geoprompttracker.com/bots/applebot-extended"
"Amazonbot","amazonbot","Amazon","both","Crawls content for Amazon's search and AI products, including Alexa.","yes","Amazon documents Amazonbot and states it respects robots.txt, including wildcard rules.","https://developer.amazon.com/amazonbot","","no","Amazon's documentation states plainly that Amazonbot does not support the crawl-delay directive. Rate-limit it at the server or CDN if it is crawling harder than you want.","https://geoprompttracker.com/bots/amazonbot"
"Meta-ExternalAgent","meta-externalagent","Meta","training","Crawls content to train Meta's AI models.","yes","Meta documents the agent and states it respects robots.txt rules.","https://developers.facebook.com/docs/sharing/webmasters/web-crawlers/","","","","https://geoprompttracker.com/bots/meta-externalagent"
"cohere-ai","cohere-ai","Cohere","training","Cohere's crawler used for training and grounding its models.","unknown","Cohere publishes no official crawler documentation, so robots.txt compliance can't be verified; use firewall rules if blocking it matters to you.","","","","","https://geoprompttracker.com/bots/cohere-ai"
"Applebot","applebot","Apple","search","Apple's crawler powering Siri and Spotlight suggestions.","yes","Apple documents Applebot thoroughly and honors robots.txt directives.","https://support.apple.com/en-us/119829","https://search.developer.apple.com/applebot.json","no","Apple's documentation states that Applebot does not follow crawl-delay, and that it adjusts its own rate instead to limit the load it puts on a site.","https://geoprompttracker.com/bots/applebot"
"GoogleOther","googleother","Google","both","Google's generic crawler for research and internal product uses.","yes","Officially documented by Google and respects robots.txt like the rest of its crawler family.","https://developers.google.com/search/docs/crawling-indexing/overview-google-crawlers","https://developers.google.com/static/crawling/ipranges/common-crawlers.json","","","https://geoprompttracker.com/bots/googleother"
"MistralAI-User","mistralai-user","Mistral","search","Fetches pages when a Le Chat user's question requires them.","yes","Mistral documents the agent and states it respects robots.txt directives.","https://docs.mistral.ai/robots/","","","","https://geoprompttracker.com/bots/mistralai-user"
"Meta-ExternalFetcher","meta-externalfetcher","Meta","search","Fetches specific links for Meta AI when users share or request them.","no","Meta's own documentation states Meta-ExternalFetcher may bypass robots.txt because fetches are performed on behalf of a user.","https://developers.facebook.com/docs/sharing/webmasters/web-crawlers/","","","","https://geoprompttracker.com/bots/meta-externalfetcher"
"AI2Bot","ai2bot","Allen Institute for AI","training","Crawls the web for the Allen Institute's open AI research models.","yes","Ai2 documents the crawler and honors robots.txt; as a research nonprofit it has strong incentives to stay compliant.","https://allenai.org/crawler","","","","https://geoprompttracker.com/bots/ai2bot"
